binary name,binary size (bytes),run1,run2,run3
g++,30752,0.001,0.001,0.001
clang,25488,0.001,0.001,0.001
rust,3614808,0.001,0.001,0.001
golang,1562954,0.001,0.001,0.001
zig,1922720,0.000,0.000,0.000
zig_cpp,1898616,0.001,0.000,0.000
swift,16584,0.005,0.005,0.005
python3.10,383,0.008,0.008,0.008
python3.10 (untyped),249,0.008,0.008,0.008
python3.11,383,0.007,0.007,0.007
python3.11 (untyped),249,0.008,0.007,0.008
python3.12,383,0.008,0.008,0.008
python3.12 (untyped),249,0.008,0.008,0.008
lua5.1,383,0.001,0.001,0.001
lua5.2,383,0.001,0.001,0.001
lua5.3,383,0.001,0.001,0.001
lua5.4,383,0.001,0.001,0.001
