binary name,binary size (bytes),run1,run2,run3
g++,71592,50.645,50.690,50.797
clang,71744,51.495,51.654,51.699
rust,3841016,82.506,82.157,82.993
golang,1946694,14.340,14.318,14.316
zig,1938872,77.001,76.904,77.206
zig,6125192,174.340,175.049,175.097
swift,77928,1085.864,969.486,972.584
python3.10,2980,775.710,786.443,774.069
python3.10 (untyped),2528,1280.706,1372.038,1280.090
python3.11,2980,470.458,485.544,470.169
python3.11 (untyped),2528,1049.474,1085.984,1127.348
python3.12,2980,507.581,465.339,454.881
python3.12 (untyped),2528,963.984,1002.810,1178.977
lua5.1,2451,723.860,725.556,736.024
lua5.2,2451,900.916,880.157,911.407
lua5.3,2451,726.975,724.367,726.442
lua5.4,2451,455.882,463.652,470.865
