binary name,binary size (bytes),run1,run2,run3
g++,78240,0.350,0.340,0.341
clang,77376,0.294,0.293,0.296
rust,4152448,1.039,1.038,1.019
golang,1655272,0.190,0.190,0.190
swift,74864,6.440,6.406,6.324
python3.10,383,5.153,5.145,5.132
python3.10 (untyped),249,9.575,9.407,9.088
python3.11,383,3.817,3.808,3.811
python3.11 (untyped),249,8.254,8.308,7.955
python3.12,383,2.592,2.596,2.591
python3.12 (untyped),249,6.803,7.663,6.774
python3.13,383,2.616,2.615,2.631
python3.13 (untyped),249,7.370,7.246,7.114
lua5.1,383,15.697,15.720,15.649
lua5.2,383,16.227,16.222,16.197
lua5.3,383,15.006,15.015,15.010
lua5.4,383,10.863,10.858,10.992
