binary name,binary size (bytes),run1,run2,run3
g++,16992,14.033,14.008,14.014
clang,21008,14.581,14.551,14.613
rust,3939216,24.283,24.292,24.264
golang,2140735,4.326,4.312,4.314
swift,28256,223.743,221.881,223.471
python3.10,2980,178.428,179.833,178.028
python3.10 (untyped),2528,315.868,326.217,297.493
python3.11,2980,125.320,124.770,125.250
python3.11 (untyped),2528,250.285,248.628,308.116
python3.12,2980,129.347,128.555,128.769
python3.12 (untyped),2528,257.236,248.631,245.154
python3.13,2980,175.128,178.169,174.254
python3.13 (untyped),2528,304.477,376.861,307.029
lua5.1,2451,198.225,200.533,200.939
lua5.2,2451,237.755,236.448,237.273
lua5.3,2451,200.863,201.443,202.225
lua5.4,2451,131.916,136.326,131.419
