binary name,binary size (bytes),run1,run2,run3
g++,30752,0.416,0.400,0.399
clang,25488,0.913,0.295,0.295
rust,3608704,0.777,0.783,0.775
golang,1562954,0.099,0.097,0.116
zig,1922720,0.431,0.425,0.462
zig_cpp,1898616,0.679,0.687,0.686
swift,16584,9.083,9.069,9.078
python3.10,383,6.074,6.171,6.026
python3.10 (untyped),249,10.034,9.911,9.860
python3.11,383,4.783,4.899,4.770
python3.11 (untyped),249,9.384,9.799,10.013
python3.12,383,3.081,3.120,3.002
python3.12 (untyped),249,7.356,7.538,7.180
lua5.1,383,17.623,18.143,17.737
lua5.2,383,18.144,18.122,18.266
lua5.3,383,15.551,15.686,15.721
lua5.4,383,12.933,12.917,13.279
